Quantity,Designators,Package,SOURCE,ALIEXPRESS,DIGIKEY,Value,MPN,Manufacturer,Value[2],MPN[2],Manufacturer[2]
1,C2,CAPPM320X160X180L80X120,,,478-8152-1-ND,100μF,F930J107KAA,AVX,,,
1,C4,CAPPM320X160X180L80X120,,,478-8237-1-ND,10μF,F931C106MAA,AVX,,,
2,"DS1, DS2",Reflektor / Sovtek IN-12,Ebay,,,,IN-12B,Reflektor,,,
1,J1,Barrel Jack DC-005,,,,Barrel Jack Center Pos,,,,,
1,L1,LOGO_COREDUMP_3.4mm,,,,Made at Coredump,,,,,
1,LED1,OSRAM_CHIPLED0805_DIFFUSED,,,475-2560-1-ND,Pwr,LY R976-PS-36,OSRAM,,,
1,LED2,OSRAM_CHIPLED0805_DIFFUSED,,,475-1410-1-ND,WiFi,LG R971-KN-1,OSRAM,,,
1,R1,RESC2012 (0805),,,311-270CRCT-ND,270Ω,RC0805FR-07270RL,Yageo,,,
1,R2,RESC2012 (0805),,,311-220CRCT-ND,220Ω,RC0805FR-07220RL,Yageo,,,
1,R3,RESC2012 (0805),,,311-0.0ARCT-ND,0Ω,RC0805JR-070RL,Yageo,,,
2,"R4, R5",RESC3216 (1206),,,311-15.0KFRCT-ND,15kΩ,RC1206FR-0715KL,Yageo,,,
1,S1,Salecom T8014A-UHBx,AliExpress,https://aliexpress.com/item/33033590581.html,,,T8014A-UHBx,Salecom,,,
1,U1,NCH6100HV,AliExpress,https://aliexpress.com/item/32834903717.html,,NCH6100HV Power Supply,,,,,
1,U2,SOT223-4P230_700X180L175X75T175X300,,,296-21114-1-ND,LDO 5V,TLV1117-50CDCYR,Texas Instruments,,,
2,"U3, U4",DIP762W55P254L2007H533Q16,Ebay,,,,К155ИД1,Integral,,,
1,U5,M5STACK_STAMP_C3U,,,,,K122,M5Stack,,C122-B,M5Stack
